,index,Male,Black_Hair
111,100903.jpg,0,0
112,140680.jpg,1,0
113,168443.jpg,0,0
114,180359.jpg,0,0
115,202150.jpg,0,0
116,022432.jpg,0,0
117,066373.jpg,0,0
118,035072.jpg,1,1
119,118882.jpg,0,0
120,100292.jpg,0,0
121,158353.jpg,0,0
122,159683.jpg,0,0
123,057934.jpg,1,0
124,056963.jpg,1,0
125,000247.jpg,0,0
126,100792.jpg,0,0
127,165359.jpg,0,0
128,145780.jpg,1,0
129,159850.jpg,0,1
130,193599.jpg,0,0
131,103928.jpg,0,1
132,182347.jpg,0,0
133,077687.jpg,0,1
134,095747.jpg,1,0
135,167820.jpg,0,1
136,015400.jpg,0,0
137,146675.jpg,0,0
138,026546.jpg,0,0
139,045444.jpg,1,1
140,012583.jpg,0,0
141,093355.jpg,0,1
142,034356.jpg,0,0
143,010830.jpg,0,0
144,162130.jpg,1,0
145,008254.jpg,1,0
146,047143.jpg,0,0
147,032177.jpg,0,0
148,069744.jpg,0,0
149,137704.jpg,0,0
150,166398.jpg,0,0
151,021130.jpg,0,0
152,015942.jpg,0,1
153,109967.jpg,0,0
154,145316.jpg,0,0
155,137607.jpg,0,0
156,166456.jpg,0,0
157,000106.jpg,0,0
158,096962.jpg,1,0
159,027879.jpg,0,0
160,105140.jpg,1,1
161,035250.jpg,0,0
162,116974.jpg,0,0
163,163808.jpg,0,1
164,125156.jpg,0,0
165,155165.jpg,0,0
166,049842.jpg,0,0
167,130363.jpg,0,0
168,005229.jpg,0,0
169,001328.jpg,0,0
170,144754.jpg,0,0
171,190776.jpg,0,0
172,202398.jpg,0,1
173,058892.jpg,0,0
174,161158.jpg,0,0
175,049559.jpg,1,1
176,079618.jpg,0,0
177,201628.jpg,0,0
178,062548.jpg,0,0
179,201519.jpg,1,0
180,131020.jpg,0,0
181,112973.jpg,0,0
182,081897.jpg,0,0
183,145752.jpg,0,0
184,040352.jpg,0,0
185,088757.jpg,0,0
186,171449.jpg,0,0
187,188143.jpg,0,0
188,156086.jpg,0,0
189,132388.jpg,0,0
190,009120.jpg,0,1
191,034692.jpg,0,0
192,132708.jpg,0,0
193,138696.jpg,0,0
194,168836.jpg,0,0
195,000678.jpg,0,0
196,162213.jpg,0,0
197,062388.jpg,1,0
198,101646.jpg,1,0
199,120163.jpg,0,0
200,027188.jpg,0,0
201,201439.jpg,0,0
202,197012.jpg,1,1
203,016350.jpg,0,0
204,126664.jpg,0,0
205,168973.jpg,0,0
206,113470.jpg,0,0
207,149944.jpg,0,0
208,030570.jpg,0,0
209,052952.jpg,0,0
210,119065.jpg,0,0
211,115736.jpg,0,0
212,084848.jpg,0,0
213,080166.jpg,0,0
214,167093.jpg,0,0
215,070400.jpg,0,0
216,057291.jpg,0,0
217,188704.jpg,0,0
218,032497.jpg,0,0
219,039359.jpg,0,1
220,137288.jpg,0,0
221,037927.jpg,0,0
222,169102.jpg,0,0
223,096543.jpg,0,1
224,019784.jpg,0,0
225,027301.jpg,1,1
226,128763.jpg,0,1
227,190241.jpg,0,0
228,155241.jpg,0,0
229,170658.jpg,1,0
230,154725.jpg,0,1
231,186656.jpg,1,0
232,042147.jpg,0,0
233,067520.jpg,1,0
234,115782.jpg,0,0
235,133102.jpg,0,0
236,084876.jpg,0,0
237,168184.jpg,1,0
238,088624.jpg,0,1
239,103547.jpg,1,0
240,100970.jpg,0,0
241,038347.jpg,0,0
242,056801.jpg,0,0
243,129825.jpg,1,0
244,110804.jpg,0,0
245,078021.jpg,1,0
246,075270.jpg,0,0
247,141879.jpg,0,0
248,028539.jpg,0,0
249,069924.jpg,0,0
250,196995.jpg,0,0
251,112897.jpg,0,0
252,167947.jpg,0,1
253,010357.jpg,0,0
254,033301.jpg,1,0
255,002395.jpg,0,0
256,057673.jpg,0,0
257,114947.jpg,0,0
258,009215.jpg,0,0
259,091115.jpg,0,0
260,119744.jpg,0,0
261,056314.jpg,0,0
262,068106.jpg,0,1
263,167784.jpg,0,1
264,074456.jpg,0,0
265,165396.jpg,0,0
266,110761.jpg,0,0
267,049768.jpg,0,1
268,117807.jpg,0,1
269,100700.jpg,0,0
270,149806.jpg,0,0
271,184734.jpg,0,1
272,168457.jpg,0,1
273,087964.jpg,0,1
274,077398.jpg,0,0
275,170726.jpg,0,1
276,187872.jpg,0,0
277,116743.jpg,0,0
278,124941.jpg,1,0
279,013978.jpg,0,0
280,088158.jpg,0,0
281,077744.jpg,0,0
282,120013.jpg,0,0
283,019293.jpg,0,0
284,099027.jpg,0,0
285,033561.jpg,0,0
286,052161.jpg,0,0
287,149153.jpg,0,0
288,159393.jpg,0,0
289,067633.jpg,1,0
290,200141.jpg,0,0
291,081419.jpg,0,0
292,202185.jpg,0,0
293,143204.jpg,0,1
294,041232.jpg,0,0
295,130406.jpg,0,0
296,165023.jpg,0,0
297,011606.jpg,0,0
298,186900.jpg,0,1
299,192639.jpg,0,0
300,061731.jpg,0,0
301,170247.jpg,0,0
302,055412.jpg,0,0
303,171304.jpg,0,1
304,019523.jpg,0,1
305,077090.jpg,0,0
306,076548.jpg,0,1
307,034118.jpg,0,0
308,109453.jpg,0,0
309,074256.jpg,0,0
310,202246.jpg,0,0
311,144665.jpg,1,1
312,151521.jpg,0,0
313,051896.jpg,1,0
314,167049.jpg,0,1
315,201774.jpg,0,0
316,130309.jpg,1,0
317,065950.jpg,0,0
318,104942.jpg,0,0
319,162970.jpg,0,0
320,181587.jpg,0,0
321,061670.jpg,0,0
322,124937.jpg,1,0
323,200592.jpg,0,0
324,104498.jpg,1,0
325,003036.jpg,1,0
326,115924.jpg,0,0
327,101764.jpg,0,0
328,042615.jpg,0,0
329,198311.jpg,0,0
330,175891.jpg,1,1
331,184309.jpg,0,0
332,133675.jpg,0,0
333,164912.jpg,1,1
334,048805.jpg,1,0
335,106336.jpg,0,0
336,132558.jpg,1,0
337,015268.jpg,0,0
338,078280.jpg,0,1
339,154596.jpg,0,1
340,190700.jpg,0,0
341,199971.jpg,0,0
342,136409.jpg,0,1
343,197843.jpg,1,0
344,013041.jpg,0,1
345,009314.jpg,0,0
346,192144.jpg,0,0
347,022368.jpg,0,0
348,100302.jpg,0,0
349,054900.jpg,0,0
350,143754.jpg,0,0
351,006361.jpg,1,0
352,116072.jpg,0,0
353,040719.jpg,0,0
354,047862.jpg,1,0
355,098117.jpg,1,0
356,053924.jpg,0,0
357,183347.jpg,0,0
358,173777.jpg,0,0
359,112971.jpg,0,0
360,115590.jpg,0,0
361,191778.jpg,1,0
362,201224.jpg,0,0
363,096961.jpg,0,0
364,019086.jpg,0,0
365,002955.jpg,0,1
366,092515.jpg,0,1
367,010313.jpg,0,0
368,200563.jpg,0,0
369,138735.jpg,0,0
370,011562.jpg,0,0
371,043449.jpg,0,0
372,120529.jpg,0,1
373,053560.jpg,0,0
374,085463.jpg,0,0
375,159547.jpg,0,0
376,198841.jpg,0,0
377,198861.jpg,0,0
378,090220.jpg,0,1
379,115228.jpg,0,0
380,104255.jpg,0,0
381,109935.jpg,0,1
382,106076.jpg,0,0
383,127596.jpg,0,1
384,175005.jpg,0,0
385,081560.jpg,0,1
386,073014.jpg,0,0
387,041706.jpg,0,0
388,151702.jpg,0,0
389,098710.jpg,1,0
390,011790.jpg,0,0
391,131417.jpg,1,0
392,049197.jpg,1,0
393,149691.jpg,0,0
394,058567.jpg,0,0
395,114871.jpg,0,1
396,094502.jpg,1,1
397,085832.jpg,0,0
398,111169.jpg,0,0
399,192240.jpg,0,0
400,072282.jpg,1,0
401,168491.jpg,0,0
402,070561.jpg,0,0
403,168946.jpg,0,0
404,018098.jpg,0,0
405,186502.jpg,0,0
406,164972.jpg,0,0
407,191208.jpg,1,1
408,105541.jpg,0,0
409,196724.jpg,0,0
410,047323.jpg,0,0
411,151469.jpg,0,0
412,073799.jpg,1,0
413,121269.jpg,0,0
414,082201.jpg,0,0
415,161458.jpg,0,0
416,136008.jpg,1,1
417,153433.jpg,1,0
418,154666.jpg,0,1
419,118614.jpg,0,0
420,039180.jpg,0,0
421,167850.jpg,0,0
422,003272.jpg,0,0
423,041300.jpg,0,0
424,201017.jpg,0,0
425,162339.jpg,0,0
426,131970.jpg,1,0
427,001107.jpg,0,0
428,175890.jpg,0,1
429,018548.jpg,0,0
430,157211.jpg,0,0
431,032622.jpg,0,0
432,033215.jpg,0,0
433,166550.jpg,0,0
434,127349.jpg,0,0
435,168868.jpg,0,0
436,002353.jpg,0,0
437,154102.jpg,0,0
438,149570.jpg,1,0
439,003601.jpg,0,0
440,163975.jpg,0,0
441,016048.jpg,0,0
442,022745.jpg,1,0
443,173834.jpg,0,1
444,056793.jpg,0,1
445,049945.jpg,0,1
446,076362.jpg,0,0
447,198259.jpg,1,0
448,096894.jpg,0,0
449,025979.jpg,1,1
450,011378.jpg,0,0
451,091394.jpg,1,0
452,086471.jpg,0,0
453,127035.jpg,0,0
454,117829.jpg,1,1
455,035205.jpg,0,0
456,140886.jpg,0,0
457,022762.jpg,1,0
458,136627.jpg,0,0
459,186854.jpg,0,1
460,050513.jpg,0,0
461,041832.jpg,0,0
462,047636.jpg,0,0
463,011814.jpg,0,0
464,148123.jpg,0,1
465,055170.jpg,1,0
466,112501.jpg,0,0
467,024144.jpg,0,0
468,143744.jpg,0,1
469,024159.jpg,0,1
470,014977.jpg,1,0
471,078253.jpg,0,0
472,167431.jpg,0,0
473,049641.jpg,0,0
474,136696.jpg,0,1
475,054982.jpg,0,0
476,134731.jpg,1,0
477,035344.jpg,0,0
478,020547.jpg,0,0
479,190823.jpg,0,0
480,063512.jpg,1,0
481,183665.jpg,0,0
482,113350.jpg,1,1
483,049520.jpg,0,0
484,016975.jpg,0,0
485,064326.jpg,1,0
486,196431.jpg,0,0
487,044446.jpg,1,0
488,067789.jpg,0,0
489,030816.jpg,0,1
490,111219.jpg,0,0
491,182967.jpg,1,0
492,116064.jpg,0,0
493,008999.jpg,1,1
494,103748.jpg,0,0
495,174928.jpg,1,0
496,045568.jpg,0,0
497,105941.jpg,1,0
498,188763.jpg,0,1
499,043327.jpg,0,0
500,167600.jpg,0,0
501,098942.jpg,0,1
502,063352.jpg,1,0
503,130675.jpg,0,0
504,024260.jpg,0,0
505,188145.jpg,0,0
506,035035.jpg,0,0
507,146619.jpg,0,0
508,111903.jpg,0,0
509,180167.jpg,1,0
510,166650.jpg,0,0
511,181633.jpg,0,0
512,033294.jpg,0,0
513,036572.jpg,0,0
514,148127.jpg,0,0
515,064690.jpg,0,0
516,163419.jpg,0,0
517,151402.jpg,0,0
518,115967.jpg,1,0
519,160941.jpg,1,0
520,202536.jpg,0,0
521,067623.jpg,1,0
522,048103.jpg,0,0
523,183679.jpg,0,0
524,136024.jpg,0,1
525,086321.jpg,0,0
526,016136.jpg,0,0
527,127708.jpg,0,0
528,010449.jpg,1,1
529,005160.jpg,0,0
530,195373.jpg,0,0
531,156815.jpg,0,0
532,116177.jpg,0,0
533,054073.jpg,0,0
534,190370.jpg,0,0
535,158206.jpg,1,0
536,049445.jpg,1,1
537,051050.jpg,0,1
538,180730.jpg,0,0
539,202087.jpg,0,0
540,007113.jpg,0,0
541,027396.jpg,0,0
542,135127.jpg,0,0
543,025301.jpg,0,0
544,183368.jpg,0,1
545,118316.jpg,0,0
546,066817.jpg,0,0
547,052451.jpg,0,0
548,141585.jpg,0,1
549,077597.jpg,0,0
550,141515.jpg,0,0
551,046541.jpg,1,0
552,076028.jpg,0,0
553,169753.jpg,0,1
554,114063.jpg,0,0
555,125066.jpg,0,0
556,027119.jpg,0,0
557,161282.jpg,1,1
558,142849.jpg,0,0
559,060325.jpg,0,0
560,019561.jpg,1,0
561,188986.jpg,0,0
562,026778.jpg,0,0
563,199091.jpg,0,0
564,029446.jpg,0,0
565,143876.jpg,0,0
566,182120.jpg,0,0
567,063670.jpg,0,0
568,028068.jpg,0,0
569,135810.jpg,0,0
570,167286.jpg,0,0
571,023724.jpg,0,0
572,051637.jpg,0,0
573,015663.jpg,0,1
574,032911.jpg,0,0
575,194254.jpg,0,1
576,154138.jpg,0,0
577,130085.jpg,0,0
578,135306.jpg,0,0
579,072986.jpg,1,0
580,154512.jpg,0,0
581,128347.jpg,0,0
582,083803.jpg,1,1
583,023265.jpg,0,0
584,102667.jpg,0,0
585,071088.jpg,1,1
586,125226.jpg,0,0
587,127582.jpg,0,0
588,191946.jpg,1,0
589,201029.jpg,1,1
590,091270.jpg,1,0
591,174509.jpg,0,0
592,128231.jpg,0,0
593,088317.jpg,1,1
594,019868.jpg,1,1
595,103377.jpg,0,0
596,125480.jpg,0,0
597,026213.jpg,0,1
598,087620.jpg,0,0
599,122100.jpg,0,0
600,035330.jpg,0,0
601,109157.jpg,0,0
602,019142.jpg,0,0
603,146673.jpg,0,0
604,097608.jpg,0,0
605,013817.jpg,0,0
606,137319.jpg,0,0
607,188674.jpg,0,0
608,025681.jpg,1,0
609,095563.jpg,1,0
610,069680.jpg,0,0
611,189156.jpg,0,0
612,008465.jpg,0,0
613,106293.jpg,0,0
614,055983.jpg,0,0
615,078552.jpg,0,0
616,199254.jpg,0,0
617,005827.jpg,0,0
618,089714.jpg,0,0
619,099709.jpg,0,0
620,129399.jpg,0,0
621,075991.jpg,1,0
622,178150.jpg,0,1
623,170603.jpg,0,0
624,108788.jpg,0,0
625,086331.jpg,0,1
626,023352.jpg,1,0
627,102961.jpg,1,0
628,009085.jpg,0,1
629,047198.jpg,0,0
630,013246.jpg,0,1
631,138793.jpg,0,0
632,163401.jpg,1,0
633,059831.jpg,0,0
634,083402.jpg,0,0
635,132329.jpg,0,1
636,043691.jpg,0,1
637,124257.jpg,0,0
638,123155.jpg,0,0
639,021882.jpg,0,0
640,157369.jpg,1,0
641,114228.jpg,1,1
642,111230.jpg,0,0
643,156261.jpg,0,0
644,078820.jpg,0,0
645,034933.jpg,0,0
646,071907.jpg,0,1
647,180292.jpg,1,0
648,111174.jpg,0,0
649,002480.jpg,0,0
650,105823.jpg,1,1
651,139626.jpg,0,0
652,130034.jpg,0,0
653,183582.jpg,0,0
654,034426.jpg,0,0
655,064205.jpg,0,0
656,172012.jpg,1,0
657,133926.jpg,0,1
658,127770.jpg,0,0
659,131527.jpg,0,0
660,188341.jpg,0,0
661,098827.jpg,0,0
662,145395.jpg,0,0
663,115317.jpg,0,0
664,179201.jpg,0,0
665,133780.jpg,0,0
666,168289.jpg,0,0
667,073529.jpg,0,0
668,044865.jpg,1,0
669,017318.jpg,0,0
670,194681.jpg,0,0
671,000544.jpg,0,0
672,011037.jpg,1,1
673,014817.jpg,0,0
674,042084.jpg,1,0
675,171096.jpg,0,0
676,022821.jpg,0,1
677,026143.jpg,0,0
678,067715.jpg,0,0
679,029549.jpg,0,0
680,079572.jpg,1,0
681,084262.jpg,0,1
682,017336.jpg,0,0
683,003295.jpg,0,0
684,100286.jpg,1,0
685,037284.jpg,0,0
686,132354.jpg,1,1
687,006233.jpg,0,0
688,149850.jpg,0,0
689,199227.jpg,0,0
690,164918.jpg,0,1
691,112464.jpg,0,0
692,018092.jpg,0,1
693,102372.jpg,0,0
694,097178.jpg,1,0
695,058770.jpg,1,0
696,031572.jpg,1,0
697,117447.jpg,1,0
698,140565.jpg,0,0
699,030032.jpg,0,0
700,080951.jpg,1,0
701,133876.jpg,0,0
702,124666.jpg,1,1
703,085212.jpg,0,0
704,064133.jpg,0,0
705,100539.jpg,0,0
706,080767.jpg,0,0
707,171087.jpg,0,0
708,159015.jpg,0,1
709,145031.jpg,0,0
710,104819.jpg,0,0
711,071548.jpg,0,0
712,111232.jpg,0,0
713,149362.jpg,0,1
714,151754.jpg,0,0
715,101328.jpg,0,1
716,167072.jpg,0,0
717,048078.jpg,0,0
718,060722.jpg,0,0
719,101320.jpg,0,0
720,116524.jpg,0,1
721,170086.jpg,0,0
722,023848.jpg,0,0
723,084544.jpg,0,0
724,194303.jpg,0,0
725,193728.jpg,0,0
726,138924.jpg,0,0
727,174181.jpg,0,0
728,115170.jpg,0,0
729,138103.jpg,0,0
730,161586.jpg,1,1
731,197464.jpg,0,0
732,198620.jpg,0,0
733,029431.jpg,0,0
734,053746.jpg,1,0
735,188869.jpg,1,0
736,003834.jpg,0,1
737,148326.jpg,0,1
738,093134.jpg,0,1
739,004923.jpg,0,0
740,094730.jpg,0,0
741,182933.jpg,0,0
742,021100.jpg,1,0
743,138590.jpg,0,0
744,153035.jpg,0,0
745,093401.jpg,0,0
746,065285.jpg,0,0
747,143043.jpg,0,0
748,052967.jpg,0,0
749,139898.jpg,0,1
750,082379.jpg,0,0
751,180009.jpg,1,0
752,179535.jpg,0,0
753,041606.jpg,0,0
754,044426.jpg,0,0
755,139326.jpg,0,0
756,004209.jpg,0,0
757,042141.jpg,1,0
758,182315.jpg,0,0
759,134730.jpg,0,0
760,178450.jpg,1,1
761,199378.jpg,0,0
762,163127.jpg,0,0
763,193892.jpg,1,1
764,195276.jpg,0,0
765,198889.jpg,0,0
766,087313.jpg,1,1
767,005202.jpg,0,0
768,115589.jpg,1,1
769,102902.jpg,0,0
770,099020.jpg,0,0
771,190479.jpg,0,0
772,101842.jpg,0,0
773,081387.jpg,1,1
774,122551.jpg,0,0
775,084792.jpg,0,0
776,028201.jpg,1,0
777,198504.jpg,1,0
778,054102.jpg,0,0
779,130464.jpg,1,1
780,143854.jpg,0,0
781,050114.jpg,1,0
782,009024.jpg,1,0
783,188856.jpg,0,1
784,196404.jpg,0,1
785,175415.jpg,0,1
786,048445.jpg,0,0
787,114422.jpg,0,0
788,118019.jpg,0,0
789,177357.jpg,1,1
790,071411.jpg,0,0
791,014427.jpg,0,0
792,020860.jpg,0,0
793,052715.jpg,1,0
794,151066.jpg,0,0
795,172505.jpg,0,0
796,071530.jpg,0,0
797,083320.jpg,0,0
798,002278.jpg,0,0
799,039849.jpg,0,0
800,154157.jpg,0,0
801,031907.jpg,0,0
802,130528.jpg,0,0
803,136941.jpg,0,0
804,162691.jpg,1,0
805,197820.jpg,0,0
806,033361.jpg,1,0
807,043544.jpg,0,0
808,060656.jpg,0,0
809,073227.jpg,0,0
810,148973.jpg,0,0
811,026655.jpg,0,1
812,195930.jpg,0,1
813,036758.jpg,0,1
814,195798.jpg,0,0
815,161178.jpg,1,1
816,086060.jpg,0,0
817,037553.jpg,0,0
818,119434.jpg,0,0
819,156988.jpg,0,1
820,048145.jpg,0,0
821,056070.jpg,1,0
822,016322.jpg,0,1
823,035969.jpg,0,0
824,097694.jpg,0,0
825,063851.jpg,0,0
826,117560.jpg,1,0
827,126659.jpg,0,0
828,183685.jpg,0,0
829,156921.jpg,0,0
830,056205.jpg,0,0
831,102883.jpg,0,0
832,120065.jpg,0,0
833,095633.jpg,0,0
834,028483.jpg,0,0
835,198208.jpg,0,0
836,082777.jpg,0,0
837,040214.jpg,0,0
838,024805.jpg,0,0
839,133134.jpg,0,0
840,110924.jpg,1,0
841,010887.jpg,0,0
842,193758.jpg,0,0
843,045235.jpg,0,0
844,064728.jpg,0,0
845,016004.jpg,0,0
846,064424.jpg,0,0
847,119597.jpg,0,1
848,097604.jpg,0,0
849,092363.jpg,0,0
850,056064.jpg,0,0
851,132672.jpg,1,0
852,050045.jpg,0,0
853,169583.jpg,0,0
854,006045.jpg,1,0
855,100691.jpg,0,0
856,059518.jpg,0,0
857,078969.jpg,0,1
858,044495.jpg,0,0
859,110239.jpg,0,0
860,026858.jpg,0,1
861,198679.jpg,0,0
862,119697.jpg,1,0
863,101857.jpg,1,1
864,168183.jpg,1,0
865,106959.jpg,0,1
866,064364.jpg,1,0
867,197924.jpg,1,1
868,113688.jpg,0,0
869,005636.jpg,0,0
870,129872.jpg,0,0
871,112460.jpg,0,1
872,151210.jpg,0,1
873,017023.jpg,0,0
874,038549.jpg,0,0
875,106983.jpg,1,1
876,147241.jpg,0,1
877,112808.jpg,0,0
878,191387.jpg,0,1
879,180057.jpg,0,0
880,174545.jpg,0,0
881,163023.jpg,0,0
882,200311.jpg,1,1
883,011507.jpg,0,0
884,062256.jpg,0,0
885,060001.jpg,0,0
886,043152.jpg,0,0
887,033053.jpg,0,0
888,056311.jpg,0,1
889,117387.jpg,0,0
890,181620.jpg,0,0
891,035609.jpg,0,0
892,176188.jpg,1,0
893,141885.jpg,0,0
894,197708.jpg,1,1
895,001729.jpg,1,0
896,086959.jpg,0,1
897,031769.jpg,0,0
898,038523.jpg,0,0
899,186252.jpg,0,0
900,082902.jpg,0,1
901,104386.jpg,0,1
902,146535.jpg,0,0
903,013969.jpg,0,0
904,084352.jpg,0,0
905,083341.jpg,0,0
906,172317.jpg,1,1
907,162829.jpg,0,0
908,006206.jpg,0,0
909,150248.jpg,0,1
910,107893.jpg,0,0
911,011879.jpg,1,0
912,200457.jpg,0,0
913,082302.jpg,0,0
914,015159.jpg,0,0
915,076170.jpg,0,1
916,008955.jpg,1,0
917,052531.jpg,0,0
918,159815.jpg,0,0
919,090190.jpg,0,0
920,039692.jpg,0,0
921,186267.jpg,0,0
922,091430.jpg,1,1
923,057565.jpg,0,1
924,014559.jpg,1,0
925,145898.jpg,0,0
926,063841.jpg,1,0
927,093373.jpg,0,0
928,171145.jpg,0,0
929,176962.jpg,0,0
930,130879.jpg,0,0
931,131676.jpg,0,0
932,050756.jpg,0,1
933,164064.jpg,1,1
934,032134.jpg,0,0
935,201603.jpg,0,0
936,122153.jpg,0,1
937,066337.jpg,0,0
938,072746.jpg,0,1
939,137786.jpg,0,1
940,189703.jpg,0,0
941,026662.jpg,0,0
942,008585.jpg,0,0
943,078248.jpg,0,0
944,094862.jpg,0,1
945,113268.jpg,1,1
946,164348.jpg,0,0
947,174779.jpg,0,1
948,060158.jpg,0,0
949,202562.jpg,0,0
950,199086.jpg,0,0
951,064206.jpg,0,0
952,131543.jpg,1,1
953,152138.jpg,0,0
954,094301.jpg,0,0
955,032077.jpg,1,1
956,196780.jpg,1,1
957,013327.jpg,1,0
958,162214.jpg,0,1
959,193727.jpg,0,1
960,096255.jpg,0,0
961,073586.jpg,0,1
962,000174.jpg,0,0
963,112098.jpg,0,0
964,078917.jpg,0,0
965,031550.jpg,0,0
966,018462.jpg,1,0
967,000054.jpg,0,0
968,141404.jpg,0,1
969,085974.jpg,0,1
970,114828.jpg,0,0
971,026606.jpg,0,0
972,033127.jpg,1,1
973,001502.jpg,0,0
974,089554.jpg,0,0
975,110630.jpg,0,0
976,042544.jpg,0,0
977,201699.jpg,0,1
978,192736.jpg,0,0
979,183247.jpg,0,0
980,087270.jpg,1,0
981,117062.jpg,0,1
982,094453.jpg,0,0
983,135170.jpg,0,0
984,078322.jpg,1,1
985,144947.jpg,1,1
986,132520.jpg,0,0
987,052487.jpg,0,0
988,049839.jpg,0,0
989,103100.jpg,1,0
990,153437.jpg,0,0
991,121420.jpg,0,0
992,103846.jpg,0,0
993,196847.jpg,1,0
994,013962.jpg,1,0
995,117211.jpg,0,0
996,039047.jpg,1,1
997,098635.jpg,0,0
998,032591.jpg,1,0
999,128382.jpg,0,0
1000,052929.jpg,1,0
1001,059425.jpg,0,0
1002,161429.jpg,0,0
1003,012757.jpg,0,0
1004,114610.jpg,1,0
1005,048626.jpg,0,0
1006,109689.jpg,1,0
1007,138411.jpg,1,1
1008,017469.jpg,0,1
1009,164908.jpg,1,1
1010,056315.jpg,0,1
1011,064997.jpg,1,0
1012,121640.jpg,0,0
1013,069389.jpg,0,0
1014,026378.jpg,0,0
1015,023257.jpg,0,0
1016,000700.jpg,1,1
1017,073587.jpg,1,0
1018,114944.jpg,0,0
1019,101111.jpg,0,1
1020,168378.jpg,0,0
1021,073335.jpg,1,0
1022,196543.jpg,0,0
1023,119473.jpg,0,0
1024,151229.jpg,0,0
1025,118263.jpg,0,0
1026,070057.jpg,0,0
1027,122508.jpg,0,0
1028,146404.jpg,1,0
1029,084833.jpg,0,1
1030,023746.jpg,0,0
1031,121323.jpg,1,0
1032,061713.jpg,0,0
1033,071686.jpg,0,0
1034,188619.jpg,0,0
1035,130893.jpg,0,0
1036,111106.jpg,0,0
1037,160587.jpg,0,0
1038,090048.jpg,1,1
1039,140887.jpg,0,0
1040,095373.jpg,0,0
1041,170790.jpg,0,0
1042,162147.jpg,0,0
1043,138340.jpg,0,0
1044,026475.jpg,0,0
1045,129256.jpg,0,0
1046,098605.jpg,0,0
1047,190697.jpg,0,0
1048,082012.jpg,0,0
1049,183058.jpg,0,0
1050,190840.jpg,0,1
1051,088841.jpg,1,1
1052,178934.jpg,0,0
1053,142642.jpg,1,0
1054,008361.jpg,1,0
1055,083296.jpg,1,0
1056,122142.jpg,0,0
1057,093130.jpg,0,0
1058,048135.jpg,1,1
1059,044601.jpg,0,0
1060,102570.jpg,0,0
1061,168943.jpg,0,0
1062,066404.jpg,0,0
1063,076549.jpg,0,0
1064,070147.jpg,1,0
1065,171511.jpg,0,0
1066,183516.jpg,0,0
1067,138875.jpg,0,0
1068,007379.jpg,0,0
