img_filename,Male,Black_Hair
093865.jpg,0,0
151094.jpg,0,0
132328.jpg,1,0
076791.jpg,0,0
162710.jpg,0,1
103287.jpg,0,1
128342.jpg,0,1
047737.jpg,0,0
107673.jpg,1,1
197940.jpg,0,0
066783.jpg,1,0
008687.jpg,1,0
141121.jpg,0,0
140182.jpg,0,0
110755.jpg,0,0
119056.jpg,0,0
124476.jpg,0,1
087857.jpg,0,0
163252.jpg,0,0
001836.jpg,0,0
089432.jpg,0,0
072822.jpg,0,0
069191.jpg,0,0
138233.jpg,1,0
064673.jpg,0,1
173252.jpg,0,1
138168.jpg,1,0
050359.jpg,0,0
140084.jpg,0,0
051972.jpg,0,0
197189.jpg,1,0
030132.jpg,0,0
150207.jpg,0,0
023790.jpg,0,0
007352.jpg,1,1
005760.jpg,0,0
080308.jpg,0,0
086045.jpg,0,0
081013.jpg,0,0
128187.jpg,0,0
157789.jpg,0,1
148698.jpg,0,1
059312.jpg,0,1
195646.jpg,0,1
053516.jpg,0,0
159598.jpg,0,0
195178.jpg,0,0
137744.jpg,0,0
108586.jpg,0,0
083677.jpg,1,0
161915.jpg,0,0
196326.jpg,0,0
015259.jpg,0,0
166043.jpg,0,0
193100.jpg,0,0
123882.jpg,0,0
026569.jpg,0,0
083775.jpg,0,1
087727.jpg,1,0
019717.jpg,0,0
021557.jpg,0,1
053633.jpg,0,1
114822.jpg,0,0
094427.jpg,0,0
164383.jpg,1,1
132349.jpg,0,0
176299.jpg,0,0
017571.jpg,0,1
016923.jpg,0,0
087130.jpg,0,0
135610.jpg,0,0
113573.jpg,0,0
132238.jpg,0,1
041004.jpg,0,0
065784.jpg,0,0
130865.jpg,0,1
031219.jpg,0,0
186751.jpg,0,1
119946.jpg,0,0
096851.jpg,0,0
020423.jpg,0,0
197982.jpg,0,0
018255.jpg,1,0
150184.jpg,1,0
080449.jpg,0,0
082073.jpg,1,0
193830.jpg,0,1
034066.jpg,0,0
170861.jpg,0,1
013053.jpg,0,1
191856.jpg,1,0
198977.jpg,0,0
017935.jpg,0,1
046555.jpg,1,0
057767.jpg,0,1
127562.jpg,0,0
042287.jpg,0,1
182784.jpg,0,1
150698.jpg,0,0
095338.jpg,0,0
047334.jpg,0,1
119129.jpg,0,0
026733.jpg,0,0
113950.jpg,0,0
000424.jpg,0,0
051450.jpg,0,0
106719.jpg,0,0
017786.jpg,0,1
117220.jpg,0,1
157653.jpg,0,1
131306.jpg,0,1
148092.jpg,0,0
065244.jpg,0,0
017283.jpg,1,0
166531.jpg,0,0
115092.jpg,0,0
107293.jpg,0,0
068771.jpg,0,0
000317.jpg,0,0
112110.jpg,0,0
140845.jpg,1,1
100952.jpg,1,0
028496.jpg,1,0
183464.jpg,0,1
196166.jpg,0,0
029507.jpg,1,0
166573.jpg,1,1
186354.jpg,0,0
062912.jpg,1,1
022466.jpg,0,1
072978.jpg,0,1
045858.jpg,0,1
025426.jpg,1,0
037244.jpg,0,0
008965.jpg,0,0
044294.jpg,0,0
055969.jpg,0,1
062641.jpg,0,0
139047.jpg,0,1
086997.jpg,0,1
157136.jpg,0,0
198462.jpg,0,0
044343.jpg,0,0
200139.jpg,0,1
165436.jpg,0,0
104874.jpg,0,0
066056.jpg,0,0
050502.jpg,0,0
001505.jpg,0,0
174480.jpg,1,0
190790.jpg,1,1
119858.jpg,0,1
020500.jpg,0,1
105094.jpg,0,0
178606.jpg,1,0
138896.jpg,0,0
022922.jpg,0,0
105817.jpg,0,0
171714.jpg,0,0
074491.jpg,0,0
193684.jpg,0,0
000504.jpg,0,0
125194.jpg,0,0
042140.jpg,0,0
138097.jpg,0,0
070708.jpg,0,0
127171.jpg,0,0
199127.jpg,0,1
097146.jpg,1,1
188728.jpg,0,0
108654.jpg,0,1
059815.jpg,0,0
189378.jpg,0,1
071635.jpg,0,1
200851.jpg,1,1
130163.jpg,0,0
038771.jpg,1,0
134736.jpg,1,0
041506.jpg,0,0
027382.jpg,0,1
029249.jpg,0,1
131614.jpg,0,1
100255.jpg,0,1
181513.jpg,0,0
123154.jpg,0,1
025996.jpg,1,0
146797.jpg,0,0
001100.jpg,1,0
058021.jpg,1,0
048892.jpg,0,1
058895.jpg,0,0
134262.jpg,0,0
182293.jpg,0,0
183549.jpg,0,0
080939.jpg,0,0
022974.jpg,0,1
017155.jpg,1,0
187854.jpg,0,0
074290.jpg,1,0
183630.jpg,0,1
090802.jpg,0,0
006096.jpg,1,0
006136.jpg,0,0
075741.jpg,0,0
077722.jpg,0,1
196861.jpg,1,0
084574.jpg,0,0
149776.jpg,0,1
019704.jpg,0,0
052414.jpg,0,0
065600.jpg,1,1
187098.jpg,0,0
128163.jpg,0,0
181671.jpg,0,1
073381.jpg,0,0
072519.jpg,0,1
161520.jpg,0,0
124781.jpg,0,0
180239.jpg,0,0
125252.jpg,0,0
200772.jpg,1,1
097030.jpg,0,0
179351.jpg,0,0
106270.jpg,1,0
184400.jpg,1,1
150722.jpg,0,1
167033.jpg,0,1
041264.jpg,0,1
165537.jpg,1,0
133252.jpg,1,0
043467.jpg,0,1
027305.jpg,1,1
120295.jpg,0,0
124824.jpg,1,0
056671.jpg,0,0
117827.jpg,0,0
117901.jpg,0,1
042568.jpg,0,1
103619.jpg,1,0
076637.jpg,1,1
061798.jpg,1,0
191138.jpg,0,0
045010.jpg,0,0
016455.jpg,1,0
117188.jpg,0,1
008676.jpg,0,1
140492.jpg,0,0
063912.jpg,1,0
123424.jpg,0,1
141655.jpg,0,0
138190.jpg,0,0
047454.jpg,0,0
017617.jpg,1,0
126834.jpg,0,0
002522.jpg,0,0
110654.jpg,0,0
085244.jpg,0,0
158697.jpg,0,0
090793.jpg,0,0
175003.jpg,0,0
048967.jpg,0,0
070518.jpg,1,0
109315.jpg,0,1
057003.jpg,0,1
197330.jpg,1,0
081129.jpg,0,0
007425.jpg,0,0
136622.jpg,0,0
192937.jpg,0,0
152726.jpg,0,0
059095.jpg,0,1
012473.jpg,0,0
111772.jpg,0,1
018671.jpg,0,1
017466.jpg,0,1
009745.jpg,0,0
196947.jpg,1,1
083442.jpg,0,1
104326.jpg,0,0
062866.jpg,0,1
166315.jpg,0,0
025813.jpg,0,1
132237.jpg,0,1
191832.jpg,0,0
085569.jpg,0,0
197767.jpg,0,0
094718.jpg,0,0
027598.jpg,0,0
128375.jpg,0,0
041753.jpg,1,0
054837.jpg,1,0
006479.jpg,1,0
194596.jpg,0,0
027316.jpg,1,0
026588.jpg,0,0
102669.jpg,0,0
140752.jpg,1,1
084324.jpg,0,0
010321.jpg,1,0
071829.jpg,0,0
164448.jpg,0,0
121057.jpg,0,0
064227.jpg,0,0
144735.jpg,1,1
120949.jpg,1,0
167222.jpg,0,0
046892.jpg,1,0
071986.jpg,0,0
033587.jpg,1,0
150366.jpg,0,0
135982.jpg,0,1
129880.jpg,0,1
167697.jpg,0,0
056638.jpg,0,1
019030.jpg,0,1
174519.jpg,0,1
005405.jpg,1,1
057211.jpg,0,0
050682.jpg,0,0
136906.jpg,1,1
144620.jpg,0,0
140789.jpg,1,1
100703.jpg,0,0
068293.jpg,0,1
010859.jpg,1,0
000136.jpg,1,0
194261.jpg,0,1
088721.jpg,0,1
008901.jpg,0,0
076207.jpg,1,0
105987.jpg,1,0
057159.jpg,0,0
086405.jpg,0,0
015729.jpg,0,0
049372.jpg,0,0
093486.jpg,0,0
020259.jpg,1,0
072239.jpg,0,0
150303.jpg,0,1
024930.jpg,0,0
141196.jpg,0,1
033802.jpg,1,0
060497.jpg,1,0
047823.jpg,0,0
082301.jpg,0,0
155111.jpg,0,0
086133.jpg,0,0
077205.jpg,0,0
066751.jpg,0,1
093344.jpg,0,0
018627.jpg,0,0
188516.jpg,0,1
015621.jpg,0,1
161548.jpg,0,0
105307.jpg,0,1
092948.jpg,0,1
053993.jpg,0,1
193249.jpg,0,0
042330.jpg,0,1
080344.jpg,0,0
121949.jpg,0,0
191901.jpg,0,0
106033.jpg,0,0
194284.jpg,0,0
089937.jpg,0,0
155511.jpg,0,1
185761.jpg,1,1
130087.jpg,0,1
116536.jpg,0,0
039291.jpg,0,0
048240.jpg,1,0
009190.jpg,0,0
009056.jpg,1,0
072908.jpg,0,1
144627.jpg,0,1
191761.jpg,1,0
006344.jpg,0,1
116035.jpg,1,0
093981.jpg,0,1
059364.jpg,0,0
057388.jpg,0,0
057627.jpg,0,0
122473.jpg,0,1
011909.jpg,0,0
146444.jpg,1,1
187398.jpg,0,1
023021.jpg,1,1
178987.jpg,0,1
100817.jpg,0,0
145002.jpg,0,1
091099.jpg,1,1
163168.jpg,0,0
007413.jpg,0,0
163762.jpg,1,0
120346.jpg,0,0
159909.jpg,0,0
036161.jpg,1,0
082360.jpg,0,1
107600.jpg,0,0
051941.jpg,0,0
001726.jpg,0,0
015461.jpg,0,0
048304.jpg,0,0
137891.jpg,1,1
070739.jpg,1,0
150526.jpg,0,1
181652.jpg,1,1
091763.jpg,0,0
177294.jpg,1,0
140194.jpg,0,1
089795.jpg,0,1
077932.jpg,0,0
103425.jpg,0,0
167918.jpg,1,0
128391.jpg,0,0
001007.jpg,0,0
010215.jpg,0,0
106029.jpg,0,1
137129.jpg,0,0
081929.jpg,0,0
103590.jpg,0,0
014129.jpg,0,1
179069.jpg,0,0
153646.jpg,0,1
043326.jpg,0,1
119927.jpg,0,0
106041.jpg,0,0
137508.jpg,0,0
044109.jpg,0,1
076457.jpg,0,0
070308.jpg,0,1
128172.jpg,0,0
076017.jpg,0,0
094341.jpg,0,1
132221.jpg,0,1
098993.jpg,1,1
046287.jpg,0,1
155921.jpg,0,0
059913.jpg,0,1
087612.jpg,0,0
065944.jpg,1,0
030601.jpg,0,0
063141.jpg,0,1
074070.jpg,0,0
134436.jpg,0,1
125705.jpg,0,0
033717.jpg,0,1
006952.jpg,0,1
165688.jpg,0,0
055596.jpg,0,0
002922.jpg,0,0
125579.jpg,0,0
197069.jpg,0,1
154342.jpg,0,0
090627.jpg,0,0
067990.jpg,0,0
052728.jpg,0,1
066826.jpg,0,0
038957.jpg,0,0
087246.jpg,1,1
010588.jpg,0,1
157425.jpg,1,1
118323.jpg,0,1
081214.jpg,0,1
179208.jpg,0,0
026451.jpg,1,0
156968.jpg,1,1
184317.jpg,0,0
164334.jpg,0,0
045879.jpg,0,0
118957.jpg,1,0
068240.jpg,0,0
044055.jpg,0,0
014041.jpg,0,0
026172.jpg,0,0
007603.jpg,0,1
127948.jpg,0,1
033548.jpg,0,1
095878.jpg,0,1
126120.jpg,1,0
112296.jpg,0,1
105900.jpg,0,1
064742.jpg,0,1
199445.jpg,0,1
069817.jpg,0,1
137833.jpg,1,0
117693.jpg,1,0
186871.jpg,0,0
182052.jpg,0,0
164268.jpg,0,0
076576.jpg,1,0
159320.jpg,0,0
103441.jpg,0,1
034591.jpg,0,0
108822.jpg,0,0
132241.jpg,0,0
159461.jpg,0,0
008402.jpg,0,1
031839.jpg,0,0
108823.jpg,0,0
020245.jpg,0,0
173572.jpg,0,0
169906.jpg,0,0
066342.jpg,0,1
074926.jpg,0,0
088552.jpg,0,0
202433.jpg,0,0
182239.jpg,0,0
076304.jpg,0,0
180110.jpg,0,0
129088.jpg,0,0
165627.jpg,0,0
014514.jpg,0,0
093633.jpg,0,1
046694.jpg,0,0
198454.jpg,1,0
200457.jpg,0,0
144798.jpg,0,1
148494.jpg,0,0
128502.jpg,0,0
186085.jpg,1,0
066581.jpg,0,1
173522.jpg,0,0
149227.jpg,0,0
179367.jpg,0,0
076857.jpg,0,0
110610.jpg,0,1
157013.jpg,0,1
124771.jpg,0,0
087968.jpg,0,0
006496.jpg,0,1
167010.jpg,0,0
103515.jpg,0,0
152029.jpg,0,0
142226.jpg,0,0
201438.jpg,0,0
057296.jpg,0,1
016473.jpg,0,0
060800.jpg,0,0
083712.jpg,0,0
057889.jpg,1,1
141623.jpg,0,1
067385.jpg,0,0
116916.jpg,0,0
095751.jpg,0,0
030340.jpg,0,0
066852.jpg,0,0
029308.jpg,0,0
103721.jpg,0,0
177351.jpg,0,0
196085.jpg,0,1
199443.jpg,0,0
069216.jpg,0,0
161301.jpg,0,0
109031.jpg,0,1
152470.jpg,0,0
196353.jpg,0,1
053999.jpg,0,0
059113.jpg,0,0
017148.jpg,0,0
029718.jpg,1,0
016626.jpg,0,0
051736.jpg,0,0
069024.jpg,0,0
200834.jpg,1,0
093467.jpg,0,0
106564.jpg,0,0
158462.jpg,0,0
173357.jpg,0,0
131507.jpg,0,1
148669.jpg,1,0
052147.jpg,1,0
161282.jpg,1,1
116477.jpg,1,1
122666.jpg,1,0
180195.jpg,0,0
192599.jpg,0,0
089402.jpg,1,0
054221.jpg,0,0
119554.jpg,0,0
005765.jpg,0,0
042562.jpg,0,0
086407.jpg,0,0
123465.jpg,1,0
066665.jpg,0,1
109452.jpg,0,0
141723.jpg,0,0
030975.jpg,0,0
093148.jpg,1,1
122487.jpg,1,0
191129.jpg,1,1
014206.jpg,0,0
007354.jpg,1,1
130667.jpg,0,0
034361.jpg,0,0
019874.jpg,0,0
011476.jpg,0,0
121792.jpg,1,0
118420.jpg,0,0
156189.jpg,1,0
089048.jpg,0,0
176427.jpg,0,0
066956.jpg,0,1
020472.jpg,1,0
019939.jpg,0,0
141860.jpg,1,0
095909.jpg,0,0
070375.jpg,0,0
195861.jpg,0,1
177842.jpg,0,0
143046.jpg,0,1
172817.jpg,0,1
065989.jpg,0,0
028015.jpg,0,0
132333.jpg,0,0
195647.jpg,0,1
020752.jpg,0,0
042041.jpg,0,1
125316.jpg,1,0
149515.jpg,1,1
065498.jpg,0,1
047415.jpg,0,0
125429.jpg,0,0
046633.jpg,0,0
141828.jpg,0,0
137182.jpg,0,0
038301.jpg,0,0
196117.jpg,0,0
109038.jpg,0,0
095332.jpg,0,1
202162.jpg,0,1
201460.jpg,0,1
167515.jpg,0,0
075649.jpg,0,0
058397.jpg,0,0
149276.jpg,0,1
158611.jpg,0,1
197443.jpg,0,1
099829.jpg,0,0
169479.jpg,0,0
032765.jpg,0,0
107049.jpg,0,0
141065.jpg,0,1
090102.jpg,1,1
019505.jpg,0,1
049837.jpg,0,0
008394.jpg,0,0
163752.jpg,1,0
171131.jpg,0,0
065497.jpg,1,1
140299.jpg,0,1
022036.jpg,0,0
088603.jpg,1,1
036290.jpg,0,0
184875.jpg,0,0
104859.jpg,0,1
088177.jpg,0,1
004504.jpg,0,0
189729.jpg,1,0
191023.jpg,0,0
019496.jpg,0,0
016989.jpg,0,1
166471.jpg,0,0
121357.jpg,0,0
098801.jpg,0,1
140615.jpg,0,1
158779.jpg,1,0
019823.jpg,1,0
052798.jpg,0,1
175041.jpg,0,0
179650.jpg,1,0
098123.jpg,0,0
166938.jpg,1,1
150940.jpg,0,0
021107.jpg,0,0
040951.jpg,0,0
164484.jpg,1,0
083857.jpg,0,0
141387.jpg,0,0
179599.jpg,0,0
083843.jpg,0,0
107229.jpg,0,1
024834.jpg,1,1
001570.jpg,0,0
190715.jpg,0,0
126272.jpg,0,1
200559.jpg,0,0
037959.jpg,0,0
098362.jpg,0,0
106946.jpg,1,0
139697.jpg,0,0
133931.jpg,1,0
023820.jpg,0,1
189720.jpg,1,0
082148.jpg,0,0
177526.jpg,0,1
085260.jpg,1,1
072737.jpg,0,1
139723.jpg,0,0
151301.jpg,1,1
054884.jpg,1,0
152421.jpg,0,0
022029.jpg,1,0
124330.jpg,0,0
125068.jpg,0,0
095568.jpg,1,0
197216.jpg,0,1
156150.jpg,0,0
049253.jpg,0,1
044795.jpg,0,1
124407.jpg,1,0
175478.jpg,0,1
031817.jpg,0,0
166672.jpg,1,0
149934.jpg,0,0
182249.jpg,1,1
058294.jpg,0,0
062351.jpg,0,1
136742.jpg,0,0
088750.jpg,1,0
067417.jpg,0,0
093130.jpg,0,0
142792.jpg,1,0
095911.jpg,0,1
128921.jpg,0,1
118735.jpg,0,1
041648.jpg,1,1
159833.jpg,0,0
099225.jpg,0,0
143051.jpg,0,0
019539.jpg,1,0
192391.jpg,0,1
129091.jpg,0,1
113327.jpg,1,0
172968.jpg,0,0
141447.jpg,1,0
188483.jpg,0,1
011204.jpg,1,0
159914.jpg,1,0
032963.jpg,1,0
088777.jpg,0,1
117239.jpg,0,0
060358.jpg,1,0
026022.jpg,0,1
051365.jpg,0,0
040910.jpg,0,0
199327.jpg,0,0
077320.jpg,0,0
196313.jpg,0,0
000089.jpg,0,0
001385.jpg,0,1
201858.jpg,0,0
187944.jpg,0,0
112380.jpg,0,0
137643.jpg,1,1
167597.jpg,0,1
105794.jpg,0,0
128622.jpg,0,0
013123.jpg,1,1
011258.jpg,0,1
193821.jpg,0,0
140258.jpg,0,0
032870.jpg,0,0
075756.jpg,0,1
111312.jpg,0,0
161730.jpg,0,0
158374.jpg,0,1
163622.jpg,0,0
062256.jpg,0,0
177854.jpg,0,0
101275.jpg,0,0
188348.jpg,0,0
145720.jpg,1,1
168226.jpg,0,0
193902.jpg,0,1
181821.jpg,0,0
041055.jpg,0,0
028183.jpg,0,1
042948.jpg,0,0
057694.jpg,1,0
133415.jpg,0,1
065062.jpg,1,0
144293.jpg,0,1
175971.jpg,0,0
199601.jpg,0,0
186637.jpg,0,0
047016.jpg,0,0
166871.jpg,0,0
074470.jpg,0,0
138625.jpg,0,0
078654.jpg,0,1
184097.jpg,0,1
079255.jpg,0,0
126112.jpg,0,0
028991.jpg,1,1
150519.jpg,0,1
156806.jpg,0,1
125737.jpg,1,0
094581.jpg,0,1
194781.jpg,1,1
057806.jpg,0,0
033662.jpg,0,1
154447.jpg,0,0
111151.jpg,0,0
060537.jpg,0,0
168363.jpg,0,1
099790.jpg,0,0
062816.jpg,0,0
024133.jpg,0,0
159347.jpg,0,0
027640.jpg,1,0
070875.jpg,0,0
101603.jpg,0,0
039808.jpg,0,1
007134.jpg,0,0
141864.jpg,0,0
109109.jpg,0,0
060613.jpg,0,0
189723.jpg,0,0
036776.jpg,0,0
113013.jpg,0,1
012755.jpg,1,0
191021.jpg,0,1
027136.jpg,0,1
105507.jpg,0,0
058728.jpg,1,0
034183.jpg,0,1
194099.jpg,0,1
021757.jpg,1,1
083645.jpg,0,1
066359.jpg,0,0
201005.jpg,0,1
041179.jpg,1,0
069077.jpg,0,0
012102.jpg,0,0
170224.jpg,0,0
195750.jpg,0,0
085017.jpg,1,0
195701.jpg,0,0
165232.jpg,0,0
076992.jpg,0,0
093295.jpg,0,0
149601.jpg,0,1
128558.jpg,1,0
020624.jpg,0,0
135622.jpg,0,0
010789.jpg,1,0
145927.jpg,1,0
021516.jpg,1,0
162963.jpg,1,0
016216.jpg,1,0
023830.jpg,1,0
148314.jpg,0,0
174839.jpg,0,0
049753.jpg,1,0
012459.jpg,1,1
135561.jpg,0,0
083796.jpg,0,0
178204.jpg,0,0
078431.jpg,0,0
195553.jpg,0,0
178288.jpg,0,1
085769.jpg,0,0
188015.jpg,0,0
104922.jpg,0,1
057928.jpg,0,0
009288.jpg,1,1
181520.jpg,0,0
061962.jpg,0,1
133544.jpg,0,1
185603.jpg,0,0
107942.jpg,0,1
161182.jpg,0,1
110594.jpg,0,0
006282.jpg,0,0
112360.jpg,0,0
039608.jpg,0,1
152684.jpg,0,0
106143.jpg,1,1
053800.jpg,0,0
179652.jpg,0,0
080824.jpg,1,0
186132.jpg,0,0
117680.jpg,0,0
155047.jpg,1,1
026524.jpg,1,0
155571.jpg,0,1
133935.jpg,0,0
113943.jpg,0,0
080856.jpg,0,0
075888.jpg,1,1
019398.jpg,1,0
099415.jpg,0,0
106158.jpg,1,1
088667.jpg,0,1
196141.jpg,0,0
132951.jpg,1,1
030498.jpg,1,0
052698.jpg,1,0
086860.jpg,1,0
112831.jpg,0,0
050703.jpg,0,0
147580.jpg,1,0
112841.jpg,0,0
070602.jpg,0,1
116859.jpg,0,0
146050.jpg,1,0
113895.jpg,1,1
130124.jpg,1,0
001422.jpg,0,0
097241.jpg,1,1
004425.jpg,1,1
092424.jpg,0,1
181627.jpg,1,0
139768.jpg,0,0
126884.jpg,0,1
085501.jpg,0,0
200003.jpg,0,0
140042.jpg,0,1
054192.jpg,0,0
092615.jpg,0,0
171747.jpg,1,0
085996.jpg,0,1
121097.jpg,0,0
048809.jpg,0,1
122153.jpg,0,1
018466.jpg,0,0
167671.jpg,0,1
104152.jpg,0,1
175470.jpg,1,0
156071.jpg,1,0
070695.jpg,0,0
180347.jpg,0,0
167788.jpg,1,1
103665.jpg,0,0
111139.jpg,1,0
175702.jpg,0,0
198095.jpg,0,0
191986.jpg,0,1
120664.jpg,0,0
053641.jpg,0,0
029821.jpg,0,0
065320.jpg,0,0
062840.jpg,0,0
050288.jpg,1,1
039213.jpg,0,0
013741.jpg,0,1
144657.jpg,0,0
162424.jpg,0,0
122692.jpg,1,0
060283.jpg,0,1
152578.jpg,0,0
110366.jpg,0,0
193401.jpg,0,1
053052.jpg,1,0
106275.jpg,0,0
159614.jpg,0,0
202579.jpg,0,1
130620.jpg,0,0
190412.jpg,0,0
130691.jpg,0,0
103987.jpg,0,0
133480.jpg,0,0
024062.jpg,0,0
166651.jpg,0,0
114339.jpg,0,0
059811.jpg,0,1
083215.jpg,1,0
003745.jpg,0,0
082510.jpg,0,0
058395.jpg,1,0
117199.jpg,0,1
066720.jpg,0,0
049673.jpg,0,0
189299.jpg,0,0
084461.jpg,1,0
054892.jpg,0,0
083235.jpg,0,0
012912.jpg,0,0
105093.jpg,1,0
050927.jpg,1,0
080598.jpg,0,0
020446.jpg,0,0
109844.jpg,1,0
037019.jpg,1,0
202557.jpg,0,0
126933.jpg,0,0
125447.jpg,0,1
200220.jpg,0,0
143016.jpg,0,0
023323.jpg,1,0
170653.jpg,0,0
040119.jpg,0,0
045695.jpg,0,0
169524.jpg,0,0
175950.jpg,0,1
051310.jpg,0,0
165059.jpg,1,1
197912.jpg,0,1
077615.jpg,0,0
078072.jpg,0,0
047894.jpg,0,0
185939.jpg,0,1
042714.jpg,0,0
155192.jpg,1,1
008982.jpg,0,0
024875.jpg,0,0
159938.jpg,0,0
075807.jpg,0,0
163060.jpg,1,1
104923.jpg,0,0
009862.jpg,0,0
021322.jpg,0,0
020242.jpg,0,0
093614.jpg,0,0
007784.jpg,0,0
065392.jpg,1,1
025782.jpg,0,0
198707.jpg,1,0
180633.jpg,0,0
124598.jpg,0,0
169424.jpg,0,1
128561.jpg,0,0
095767.jpg,0,0
137316.jpg,0,0
039231.jpg,0,0
178189.jpg,0,0
158470.jpg,0,0
134858.jpg,0,0
108762.jpg,0,0
051950.jpg,0,0
173921.jpg,0,0
006709.jpg,0,0
121089.jpg,0,0
134056.jpg,0,1
118501.jpg,0,0
103823.jpg,0,0
177877.jpg,0,0
152278.jpg,0,0
097979.jpg,0,0
084330.jpg,0,0
120724.jpg,0,0
083693.jpg,0,0
080881.jpg,0,0
121061.jpg,0,1
140526.jpg,1,0
168749.jpg,0,0
047987.jpg,0,0
167082.jpg,0,0
088775.jpg,0,1
173092.jpg,1,0
046537.jpg,0,1
119058.jpg,1,0
144438.jpg,1,1
166933.jpg,0,1
121573.jpg,0,0
130583.jpg,0,1
064833.jpg,1,1
176860.jpg,0,0
029287.jpg,0,1
150393.jpg,1,0
124228.jpg,0,0
038749.jpg,1,1
170636.jpg,0,0
091418.jpg,0,0
019293.jpg,0,0
164256.jpg,0,0
098755.jpg,0,0
068043.jpg,0,1
039096.jpg,1,1
143363.jpg,0,0
100913.jpg,0,0
158949.jpg,0,0
159771.jpg,0,0
049371.jpg,1,0
168673.jpg,0,0
049344.jpg,0,0
055368.jpg,0,0
103674.jpg,0,0
056356.jpg,0,1
034395.jpg,0,0
047472.jpg,0,1
112781.jpg,1,0
046082.jpg,1,1
119075.jpg,1,1
006525.jpg,0,0
175393.jpg,0,0
055487.jpg,0,0
000377.jpg,1,0
140419.jpg,0,0
062041.jpg,0,1
033100.jpg,0,0
078714.jpg,0,1
039581.jpg,0,0
049980.jpg,0,0
166679.jpg,0,0
029761.jpg,1,0
098544.jpg,0,0
037241.jpg,1,0
034366.jpg,0,1
022437.jpg,0,0
005620.jpg,0,1
166508.jpg,1,0
171016.jpg,0,0
133711.jpg,0,0
056628.jpg,0,0
000427.jpg,1,1
139247.jpg,0,1
189640.jpg,0,0
062640.jpg,0,0
001916.jpg,0,0
115767.jpg,0,0
014069.jpg,0,0
099636.jpg,1,1
056795.jpg,0,0
061946.jpg,0,1
042037.jpg,0,1
074332.jpg,1,0
111910.jpg,0,1
107961.jpg,0,0
065667.jpg,0,0
055591.jpg,0,0
052475.jpg,0,1
161183.jpg,0,0
053105.jpg,0,0
011703.jpg,0,0
086989.jpg,0,1
169430.jpg,0,1
142286.jpg,0,0
176724.jpg,0,0
200775.jpg,0,0
142439.jpg,1,0
173466.jpg,0,1
150264.jpg,0,0
146095.jpg,0,0
148921.jpg,0,0
053833.jpg,0,1
103475.jpg,0,0
017263.jpg,0,0
122979.jpg,0,0
028463.jpg,1,1
050566.jpg,0,0
133502.jpg,0,0
096261.jpg,1,0
112900.jpg,0,1
065499.jpg,1,0
198458.jpg,0,1
189446.jpg,0,1
029185.jpg,0,0
190911.jpg,0,0
062557.jpg,0,1
081648.jpg,0,0
144788.jpg,0,0
018238.jpg,0,0
105920.jpg,0,0
102816.jpg,0,0
123810.jpg,0,0
073010.jpg,0,0
067835.jpg,0,0
012766.jpg,1,0
167445.jpg,0,0
147495.jpg,0,1
108979.jpg,0,1
029190.jpg,0,1
155825.jpg,0,0
136864.jpg,0,0
000343.jpg,0,0
192664.jpg,0,0
022522.jpg,0,0
013217.jpg,0,1
032838.jpg,0,0
072028.jpg,0,0
136980.jpg,0,1
094314.jpg,0,0
089634.jpg,1,1
